DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200205728,02/04/2020 12:00:00 AM,02/04/2020 12:00:00 AM,1530,02,Rampart,0285,1,121,"RAPE, FORCIBLE",1415 1409 1810 0444 0537 2002 1309 0527 0913,22,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,998,,,1200 S  BONNIE BRAE                  ST,,34.0477,-118.2794
200205876,02/07/2020 12:00:00 AM,02/07/2020 12:00:00 AM,0230,02,Rampart,0257,1,121,"RAPE, FORCIBLE",0516 1822 0527 1415 1300 0509 0369 1402,42,F,H,122,"VEHICLE, PASSENGER/TRUCK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,998,,,WITMER,WILSHIRE                     BL,34.0538,-118.2667
200304601,01/11/2020 12:00:00 AM,01/11/2020 12:00:00 AM,0001,03,Southwest,0395,1,121,"RAPE, FORCIBLE",1822 2033 0500,19,F,W,505,MOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,4100 S  WESTERN                      AV,,34.0099,-118.3089
200304829,01/15/2020 12:00:00 AM,01/13/2020 12:00:00 AM,2030,03,Southwest,0392,1,121,"RAPE, FORCIBLE",0913 0527 0537 0400 0503 0531 0551 1309 1402 1415,36,F,B,217,AUTO REPAIR SHOP,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,998,,,2500 W  VERNON                       AV,,34.0037,-118.3203
200305009,01/17/2020 12:00:00 AM,01/17/2020 12:00:00 AM,1400,03,Southwest,0314,1,121,"RAPE, FORCIBLE",1206 0603 0361 2021 0527 1402 1415 0913,35,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,3900 W  28TH                         ST,,34.0307,-118.328
200306234,02/07/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1500,03,Southwest,0379,1,122,"RAPE, ATTEMPTED",1822 1309 1305 0418 0500,24,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,122,910,,,1000 W  39TH                         PL,,34.0141,-118.2915
200400501,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,0200,04,Hollenbeck,0442,1,121,"RAPE, FORCIBLE",0500 0360 0527 0913 1402,23,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,121,998,,,1000    MARK                         ST,,34.0573,-118.2126
210807650,02/23/2021 12:00:00 AM,07/18/2020 12:00:00 AM,0001,08,West LA,0814,1,121,"RAPE, FORCIBLE",0527,18,F,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,CHURCH                       LN,MONTANA                      AV,34.0675,-118.4625
200504281,01/06/2020 12:00:00 AM,01/04/2020 12:00:00 AM,0001,05,Harbor,0513,1,121,"RAPE, FORCIBLE",0913 0537 2038 0416 0507 0527 1309 1814 2000,20,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,1300    FIGUEROA                     PL,,33.7881,-118.2821
200505355,02/02/2020 12:00:00 AM,02/01/2020 12:00:00 AM,1800,05,Harbor,0504,1,121,"RAPE, FORCIBLE",1251 0515 1402 1415 1206 1817 1262 1913 0913,18,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,998,,,1500 W  212TH                        ST,,33.8371,-118.3078
200312458,06/09/2020 12:00:00 AM,05/17/2020 12:00:00 AM,2220,03,Southwest,0305,1,121,"RAPE, FORCIBLE",0500 2000 1813 0527 0522 0913,40,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,,,,2500 S  HARCOURT                     AV,,34.0341,-118.3454
201809905,04/20/2020 12:00:00 AM,04/18/2020 12:00:00 AM,1900,18,Southeast,1801,1,122,"RAPE, ATTEMPTED",1259 1251 1300 0913 1817 0500 0510 0536 0400,16,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,122,,,,8900    MENLO                        AV,,33.9565,-118.2904
200704415,01/05/2020 12:00:00 AM,01/02/2020 12:00:00 AM,2200,07,Wilshire,0747,1,121,"RAPE, FORCIBLE",0500 0418 0432 0527 1804 0913,25,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,,,,1100 S  CITRUS                       AV,,34.0552,-118.3418
210207296,03/23/2021 12:00:00 AM,09/01/2020 12:00:00 AM,1500,02,Rampart,0246,1,121,"RAPE, FORCIBLE",1251 1258 0533 0913 1814 2000,12,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,812,,,WILSHIRE,ALVARADO,34.0579,-118.2759
200116086,08/08/2020 12:00:00 AM,07/08/2020 12:00:00 AM,2200,01,Central,0192,1,121,"RAPE, FORCIBLE",0527 2033 1268 0913 0361,40,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,,,,1600 S  HOPE                         ST,,34.036,-118.268
200804257,01/07/2020 12:00:00 AM,01/04/2020 12:00:00 AM,2200,08,West LA,0828,1,121,"RAPE, FORCIBLE",0500 0913,20,F,B,504,OTHER RESIDENCE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,10700    LE CONTE                     AV,,34.0646,-118.4378
200805254,01/29/2020 12:00:00 AM,01/29/2020 12:00:00 AM,1100,08,West LA,0859,1,121,"RAPE, FORCIBLE",0913 1807 0527,54,F,O,708,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,AIRDROME,ROBERTSON,34.0489,-118.3855
200100711,03/24/2020 12:00:00 AM,03/23/2020 12:00:00 AM,1300,01,Central,0192,1,121,"RAPE, FORCIBLE",1218 0507 0527 1402 1415 1822 1206,26,F,H,503,HOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,998,,,1300 S  HOPE                         ST,,34.0395,-118.2656
201612960,09/10/2020 12:00:00 AM,01/01/2020 12:00:00 AM,0800,16,Foothill,1642,1,121,"RAPE, FORCIBLE",2000 0500 0913,35,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,13200    GARBER                       ST,,34.2558,-118.4199
201808547,03/22/2020 12:00:00 AM,03/22/2020 12:00:00 AM,1930,18,Southeast,1842,1,121,"RAPE, FORCIBLE",1402 1415 0536 1300 0913 0527 1820 0537,22,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,998,,,10800 S  BROADWAY,,33.9383,-118.2781
201000516,01/20/2020 12:00:00 AM,01/18/2020 12:00:00 AM,2330,10,West Valley,1004,1,121,"RAPE, FORCIBLE",1409 1401 2034 1415 1402 1822 1220 1262 0537,17,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,8200    GARDEN GROVE                 AV,,34.2193,-118.5292
201105310,01/31/2020 12:00:00 AM,01/30/2020 12:00:00 AM,0600,11,Northeast,1134,1,121,"RAPE, FORCIBLE",0500 0527 0913 1817 1402 1409 1415 0507 1258 1270,15,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,121,812,998,,3200    VERDUGO                      RD,,34.1098,-118.2367
201609469,05/27/2020 12:00:00 AM,05/20/2020 12:00:00 AM,0030,16,Foothill,1657,1,121,"RAPE, FORCIBLE",1202 0522 0515 1822,65,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,10100    SAMOA                        AV,,34.2523,-118.2873
201900709,04/01/2020 12:00:00 AM,03/29/2020 12:00:00 AM,2300,19,Mission,1918,1,121,"RAPE, FORCIBLE",1817 0913 0516 1402 0527 1814 0417 0532,39,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,998,,,13900    SAYRE                        ST,,34.308,-118.4362
201612260,08/24/2020 12:00:00 AM,08/24/2020 12:00:00 AM,0700,16,Foothill,1684,1,121,"RAPE, FORCIBLE",0913 2000 0522 0527 0537 1814,21,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,,,,8000    ANGES                        AV,,34.2166,-118.3919
201205325,01/20/2020 12:00:00 AM,01/19/2020 12:00:00 AM,1800,12,77th Street,1258,1,121,"RAPE, FORCIBLE",1822 1218 2033,34,F,B,726,POLICE FACILITY,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,121,,,,7600 S  BROADWAY,,33.9708,-118.2783
201206340,02/01/2020 12:00:00 AM,02/01/2020 12:00:00 AM,2030,12,77th Street,1235,1,121,"RAPE, FORCIBLE",1402 1415 0940 0416 0419 0500 0507 0536 0517 0913,18,F,W,707,GARAGE/CARPORT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,998,,,1200 W  60TH                         PL,,33.985,-118.2958
201206614,02/06/2020 12:00:00 AM,02/03/2020 12:00:00 AM,2230,12,77th Street,1211,1,121,"RAPE, FORCIBLE",1259 0913 0512 0532 0516 0527,16,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,CHESLEY,SLAUSON,33.989,-118.3344
201609425,05/26/2020 12:00:00 AM,05/24/2020 12:00:00 AM,0330,16,Foothill,1611,1,121,"RAPE, FORCIBLE",0500 0400 0913 0503 0515 2034,34,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,13300    EUSTACE                      ST,,34.2782,-118.4225
201505264,01/26/2020 12:00:00 AM,01/23/2020 12:00:00 AM,2100,15,N Hollywood,1549,1,121,"RAPE, FORCIBLE",0400 0500 0522 1402 2034 0913 1817,25,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,5400    TUJUNGA                      AV,,34.1689,-118.379
201600546,02/03/2020 12:00:00 AM,02/02/2020 12:00:00 AM,2200,16,Foothill,1672,1,121,"RAPE, FORCIBLE",0913 1415 1402 0400 0527,18,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,121,998,,,11700    SNELLING                     ST,,34.2345,-118.3886
201604030,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,0155,16,Foothill,1645,1,122,"RAPE, ATTEMPTED",0444 0400 1402 1822,28,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,122,998,,,11000    GLENOAKS                     BL,,34.2626,-118.4094
201705327,02/03/2020 12:00:00 AM,02/01/2020 12:00:00 AM,2230,17,Devonshire,1747,1,121,"RAPE, FORCIBLE",1259 1251 1206 2002 0913 1817 2024 1402 0527 2034,17,F,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,998,,,16700    CHATSWORTH                   ST,,34.2648,-118.4957
201805806,02/03/2020 12:00:00 AM,02/03/2020 12:00:00 AM,0300,18,Southeast,1822,1,121,"RAPE, FORCIBLE",0500 1822 1221 1262 1206 0527 1402,46,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,998,,,9700 S  BROADWAY,,33.9483,-118.2781
201904093,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,2025,19,Mission,1901,1,121,"RAPE, FORCIBLE",1817 2002 1206 0401 0408 0533 0419 0444 0526 0913,36,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,,,,15400    GLENOAKS                     BL,,34.3232,-118.4695
200814783,10/02/2020 12:00:00 AM,09/30/2020 12:00:00 AM,1800,08,West LA,0842,1,122,"RAPE, ATTEMPTED",1402 1415 0501 0503 0510 0516 0536 0551 1823 0913,39,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,122,998,,,11700    WILSHIRE                     BL,,34.0491,-118.4614
200117941,09/14/2020 12:00:00 AM,09/10/2020 12:00:00 AM,0120,01,Central,0138,1,121,"RAPE, FORCIBLE",1402 0500 2034 1206 1000 1018 0913 0917 1309 1415,21,F,H,123,PARKING UNDERGROUND/BUILDING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,998,,,300 E  2ND                          ST,,34.0491,-118.2414
201905696,02/05/2020 12:00:00 AM,01/08/2020 12:00:00 AM,0200,19,Mission,1985,1,121,"RAPE, FORCIBLE",0913 1817 2001 1206 0501 0507 0510 0516,18,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,TOBIAS,PARTHENIA,34.2279,-118.4516
200407302,03/25/2020 12:00:00 AM,03/24/2020 12:00:00 AM,0001,04,Hollenbeck,0445,1,121,"RAPE, FORCIBLE",1822,56,F,B,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,121,,,,2000    MARENGO                      ST,,34.0571,-118.2084
201000680,05/12/2020 12:00:00 AM,05/12/2020 12:00:00 AM,0830,10,West Valley,1044,1,121,"RAPE, FORCIBLE",1206 0913 1309 0344 1402 1259 1305 0421 1415 1409,12,F,H,101,STREET,207,OTHER KNIFE,AO,Adult Other,121,998,,,OXNARD,ETIWANDA,34.1802,-118.5308
202104886,01/19/2020 12:00:00 AM,01/19/2020 12:00:00 AM,2200,21,Topanga,2157,1,121,"RAPE, FORCIBLE",1402 1415 0527 0913,31,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,998,,,21200    KITTRIDGE                    ST,,34.1912,-118.5941
202104944,01/21/2020 12:00:00 AM,01/16/2020 12:00:00 AM,0030,21,Topanga,2147,1,121,"RAPE, FORCIBLE",0913 2000 1813 0527 0444,35,F,W,503,HOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,,,,7100    DE SOTO                      AV,,34.1992,-118.5885
201900749,04/26/2020 12:00:00 AM,04/26/2020 12:00:00 AM,1105,19,Mission,1991,1,121,"RAPE, FORCIBLE",0527 1402 0448 0516 0520 1022 1822 2033,34,F,B,122,"VEHICLE, PASSENGER/TRUCK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,998,,,8100    LANGDON                      AV,,34.218,-118.4688
200205666,02/04/2020 12:00:00 AM,02/02/2020 12:00:00 AM,0300,02,Rampart,0236,1,121,"RAPE, FORCIBLE",1415 0448 0429 0515 0527 1206 0409 1601 1817 0913,43,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,998,,,1900    MIRAMAR                      ST,,34.0632,-118.2693
201221811,10/06/2020 12:00:00 AM,04/05/2020 12:00:00 AM,0600,12,77th Street,1251,1,121,"RAPE, FORCIBLE",1402 1258 1251 0527 0500 1822,11,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,121,812,998,,6700    BRYNHURST                    AV,,33.9763,-118.3338
200208244,03/26/2020 12:00:00 AM,03/26/2020 12:00:00 AM,0325,02,Rampart,0245,1,121,"RAPE, FORCIBLE",0913 2030 0512 0527 1415 0416 0443 0448 1817 2004,27,F,W,710,OTHER PREMISE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,998,,,7TH                          ST,ALVARADO                     ST,34.057,-118.2779
200107185,02/14/2020 12:00:00 AM,02/12/2020 12:00:00 AM,0350,01,Central,0158,1,121,"RAPE, FORCIBLE",1822 2060 0527 1219 0542 0408 0419 0507 1218 2004,43,F,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,7TH                          ST,CENTRAL                      AV,34.0368,-118.2412
200714023,09/20/2020 12:00:00 AM,09/20/2020 12:00:00 AM,0120,07,Wilshire,0721,1,121,"RAPE, FORCIBLE",0500 1822 0529 0536 1402,28,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,998,,,300    ARNAZ                        DR,,34.0728,-118.3827
202100577,02/12/2020 12:00:00 AM,02/10/2020 12:00:00 AM,2200,21,Topanga,2136,1,121,"RAPE, FORCIBLE",0416 0527 1813 2000 1402 0913,36,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,998,,,7300    VARIEL                       AV,,34.2047,-118.5994
210210372,06/06/2021 12:00:00 AM,06/01/2020 12:00:00 AM,0005,02,Rampart,0211,1,121,"RAPE, FORCIBLE",2000 0913 1813 0400 0319 0448 0537 0527 0408 0516,35,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,,,,600 N  NEW HAMPSHIRE                AV,,34.0818,-118.2929
202008072,03/29/2020 12:00:00 AM,03/13/2020 12:00:00 AM,2200,20,Olympic,2025,1,121,"RAPE, FORCIBLE",1243 0913 2000 1241 0432 0416 0408 0537 0532 0501,50,F,A,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,400 S  KENMORE                      AV,,34.0672,-118.2985
201000547,02/09/2020 12:00:00 AM,02/08/2020 12:00:00 AM,1200,10,West Valley,1097,1,121,"RAPE, FORCIBLE",1415 0913 1402 1309 1913 1823 0416 0408 0443 0500,18,F,O,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,16800    ENCINO HILLS                 DR,,34.1392,-118.4991
202005943,02/10/2020 12:00:00 AM,02/04/2020 12:00:00 AM,1700,20,Olympic,2023,1,121,"RAPE, FORCIBLE",0416 0446 0432 0507 0527 0913 1206 1219 1269 2004,45,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,300 S  HOBART                       BL,,34.069,-118.3054
201808951,03/31/2020 12:00:00 AM,03/30/2020 12:00:00 AM,0100,18,Southeast,1823,1,121,"RAPE, FORCIBLE",1822 1259 0500,17,F,B,505,MOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,,,,10100 S  SAN PEDRO                    ST,,33.9447,-118.2695
201005764,02/10/2020 12:00:00 AM,02/10/2020 12:00:00 AM,0540,10,West Valley,1011,1,121,"RAPE, FORCIBLE",1415 0361 1820 0913 1206 2034 0510 0515 1823,20,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,998,,,7300    VANALDEN                     AV,,34.203,-118.5492
201300544,02/07/2020 12:00:00 AM,02/06/2020 12:00:00 AM,1700,13,Newton,1307,1,121,"RAPE, FORCIBLE",0421 1822 2004 1218 2060 0334 0500 0507 0508 1402,25,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,998,,,8TH                          ST,CROCKER                      ST,34.0378,-118.2483
200206350,02/17/2020 12:00:00 AM,02/17/2020 12:00:00 AM,1040,02,Rampart,0245,1,121,"RAPE, FORCIBLE",1402 1415 1822 0400 0334 0432 0527 1218,44,F,H,109,PARK/PLAYGROUND,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,121,998,,,6TH                          ST,PARK VIEW                    ST,34.0612,-118.2785
201306449,02/13/2020 12:00:00 AM,02/12/2020 12:00:00 AM,1200,13,Newton,1362,1,121,"RAPE, FORCIBLE",0500 0417 0515 1415 0913,20,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,998,,,200 E  48TH                         ST,,33.9993,-118.2718
201606176,02/21/2020 12:00:00 AM,01/27/2020 12:00:00 AM,0800,16,Foothill,1633,1,121,"RAPE, FORCIBLE",2000 0416 0522 0515 0516 0527 0913 1813 0537,43,F,H,707,GARAGE/CARPORT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,12300    GLAMIS                       ST,,34.269,-118.4014
